,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
454,249,124,751,125,124,386,96,365,415,220,365,780
455,862,569,138,293,569,60,286,78,67,855,78,145
456,246,104,754,142,104,378,108,376,412,212,376,788
457,881,551,119,330,551,56,314,63,72,865,63,135
458,232,107,768,125,107,404,94,364,435,201,364,799
459,862,534,138,328,534,62,315,76,75,849,76,151
460,239,110,761,129,110,392,103,369,418,213,369,787
461,886,592,114,294,592,41,285,73,50,877,73,123
462,236,119,764,117,119,401,87,363,431,206,363,794
463,877,587,123,290,587,56,278,67,68,865,67,135
464,231,110,769,121,110,373,94,396,400,204,396,796
465,858,561,142,297,561,47,285,95,59,846,95,154
466,225,110,775,115,110,409,86,366,438,196,366,804
467,866,543,134,323,543,59,315,75,67,858,75,142
468,231,116,769,115,116,412,86,357,441,202,357,798
469,860,564,140,296,564,65,281,75,80,845,75,155
470,237,106,763,131,106,385,91,378,425,197,378,803
471,862,590,138,272,590,47,252,91,67,842,91,158
472,241,125,759,116,125,385,87,374,414,212,374,788
473,869,547,131,322,547,56,307,75,71,854,75,146
474,223,102,777,121,102,396,89,381,428,191,381,809
475,857,541,143,316,541,52,300,91,68,841,91,159
476,225,114,775,111,114,398,76,377,433,190,377,810
477,856,562,144,294,562,59,278,85,75,840,85,160
478,253,112,747,141,112,394,102,353,433,214,353,786
479,888,590,112,298,590,51,276,61,73,866,61,134
480,231,107,769,124,107,369,90,400,403,197,400,803
481,869,566,131,303,566,56,287,75,72,853,75,147
482,238,117,762,121,117,424,89,338,456,206,338,794
483,857,554,143,303,554,66,285,77,84,839,77,161
484,224,102,776,122,102,397,88,379,431,190,379,810
485,861,562,139,299,562,55,277,84,77,839,84,161
486,229,108,771,121,108,395,84,376,432,192,376,808
487,857,548,143,309,548,61,297,82,73,845,82,155
488,238,104,762,134,104,371,95,391,410,199,391,801
489,867,557,133,310,557,54,291,79,73,848,79,152
490,249,111,751,138,111,378,100,373,416,211,373,789
491,875,550,125,325,550,51,309,74,67,859,74,141
492,240,123,760,117,123,391,90,369,418,213,369,787
493,882,575,118,307,575,43,291,75,59,866,75,134
494,239,105,761,134,105,373,98,388,409,203,388,797
495,873,557,127,316,557,44,294,83,66,851,83,149
496,220,99,780,121,99,424,89,356,456,188,356,812
497,852,566,148,286,566,61,269,87,78,835,87,165
498,244,97,756,147,97,374,101,382,420,198,382,802
499,874,559,126,315,559,49,296,77,68,855,77,145
